"Cmdlet","RuleName","Message"
"New-AzApiManagementVirtualNetwork","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
"New-AzApiManagementVirtualNetwork","Incorrect ParameterType","""New-AzApiManagement -VpnType ""External"""" is not an expected parameter type."
"New-AzApiManagementVirtualNetwork","Incorrect ParameterType","""New-AzApiManagement -Sku ""Premium"""" is not an expected parameter type."
"Remove-AzApiManagementApiRelease","Invalid Cmdlet","""Remove-AzAzureRmApiManagementApiRelease"" is not a valid command name."
"Remove-AzApiManagementApiRevision","Invalid Cmdlet","""Remove-AzAzureRmApiManagementApiRevision"" is not a valid command name."
"Remove-AzApiManagementApiRevision","RedirectionNotSupported","The '<' operator is reserved for future use."
"Remove-AzApiManagementApiRevision","Unassigned Parameter","""Remove-AzApiManagementApiRevision -Context"" must be assigned with a value."
"Remove-AzApiManagementApiSchema","RedirectionNotSupported","The '<' operator is reserved for future use."
"Remove-AzApiManagementApiSchema","Unassigned Parameter","""Remove-AzApiManagementApiSchema -Context"" must be assigned with a value."
"Remove-AzApiManagementAuthorizationServer","Unassigned Variable","""Remove-AzApiManagementAuthorizationServer -Context $ApiMgmtContext is a null-valued parameter value."""
"Remove-AzApiManagementAuthorizationServer","Invalid ParameterName","""Remove-AzApiManagementAuthorizationServer -Force"" is not a valid parameter name."
"Remove-AzApiManagementCertificate","Unassigned Variable","""Remove-AzApiManagementCertificate -Context $ApiMgmtContext is a null-valued parameter value."""
"Remove-AzApiManagementCertificate","Invalid ParameterName","""Remove-AzApiManagementCertificate -Force"" is not a valid parameter name."
"Remove-AzApiManagementGateway","Invalid ParameterName","""Remove-AzApiManagementGateway -Force"" is not a valid parameter name."
"Remove-AzApiManagementGatewayHostnameConfiguration","Invalid ParameterName","""Remove-AzApiManagementGatewayHostnameConfiguration -Force"" is not a valid parameter name."
"Remove-AzApiManagementGroup","Invalid ParameterName","""Remove-AzApiManagementGroup -Force"" is not a valid parameter name."
"Remove-AzApiManagementIdentityProvider","Incorrect ParameterType","""Remove-AzApiManagementIdentityProvider -Type 'Facebook'"" is not an expected parameter type."
"Remove-AzApiManagementLogger","Invalid ParameterName","""Remove-AzApiManagementLogger -Force"" is not a valid parameter name."
"Remove-AzApiManagementOperation","Invalid ParameterName","""Remove-AzApiManagementOperation -Force"" is not a valid parameter name."
"Remove-AzApiManagementRegion","Unassigned Variable","""Remove-AzApiManagementRegion -ApiManagement $ApiManagement is a null-valued parameter value."""
"Remove-AzApiManagementSubscription","Invalid ParameterName","""Remove-AzApiManagementSubscription -Force"" is not a valid parameter name."
"Remove-AzApiManagementUser","Invalid ParameterName","""Remove-AzApiManagementUser -Force"" is not a valid parameter name."
"Restore-AzApiManagement","Unassigned Variable","""New-AzStorageAccount -Location $location is a null-valued parameter value."""
"Restore-AzApiManagement","Incorrect ParameterType","""New-AzStorageContext -StorageAccountKey $storageKey"" is not an expected parameter type."
"Set-AzApiManagementApi","Incorrect ParameterType","""Set-AzApiManagementApi -Protocols @('https')"" is not an expected parameter type."
"Set-AzApiManagementApi","Unassigned Variable","""New-AzApiManagementApiVersionSet -Context $context is a null-valued parameter value."""
"Set-AzApiManagementApi","Unassigned Variable","""Set-AzApiManagementApi -ApiId $echoApiId is a null-valued parameter value."""
"Set-AzApiManagementApiRevision","Incorrect ParameterType","""Set-AzApiManagementApiRevision -Protocols @('https')"" is not an expected parameter type."
"Set-AzApiManagementApiSchema","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementApiSchema","Unassigned Parameter","""Set-AzApiManagementApiSchema -Context"" must be assigned with a value."
"Set-AzApiManagementAuthorizationServer","Incorrect ParameterType","""Set-AzApiManagementAuthorizationServer -AuthorizationRequestMethods @('Get')"" is not an expected parameter type."
"Set-AzApiManagementAuthorizationServer","Incorrect ParameterType","""Set-AzApiManagementAuthorizationServer -GrantTypes @( 'AuthorizationCode', 'Implicit', 'ClientCredentials')"" is not an expected parameter type."
"Set-AzApiManagementAuthorizationServer","Incorrect ParameterType","""Set-AzApiManagementAuthorizationServer -ClientAuthenticationMethods @('Basic')"" is not an expected parameter type."
"Set-AzApiManagementAuthorizationServer","Incorrect ParameterType","""Set-AzApiManagementAuthorizationServer -AccessTokenSendingMethods @('AuthorizationHeader')"" is not an expected parameter type."
"Set-AzApiManagementAuthorizationServer","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementAuthorizationServer","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementAuthorizationServer","Unassigned Parameter","""Set-AzApiManagementAuthorizationServer -Context"" must be assigned with a value."
"Set-AzApiManagementAuthorizationServer","Unassigned Parameter","""Set-AzApiManagementAuthorizationServer -DefaultScope"" must be assigned with a value."
"Set-AzApiManagementBackend","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementBackend","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementBackend","Unassigned Parameter","""Set-AzApiManagementBackend -Context"" must be assigned with a value."
"Set-AzApiManagementBackend","Unassigned Parameter","""Set-AzApiManagementBackend -Credential"" must be assigned with a value."
"Set-AzApiManagementDiagnostic","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementDiagnostic","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementDiagnostic","Unassigned Parameter","""Set-AzApiManagementDiagnostic -Context"" must be assigned with a value."
"Set-AzApiManagementDiagnostic","Unassigned Parameter","""Set-AzApiManagementDiagnostic -SamplingSetting"" must be assigned with a value."
"Set-AzApiManagementIdentityProvider","RedirectionNotSupported","The '<' operator is reserved for future use."
"Set-AzApiManagementIdentityProvider","RedirectionNotSupported","The '<' operator is reserved for future use."
